"Candidate","Party","Votes","State","Const"
"PONAKA SAMMAKKA","Independent",246,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"BALUNAYAK BHUKYA","Independent",244,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"EESAM SUDHAKAR","Independent",242,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"None of the Above","None of the Above",253,"Andhra Pradesh","Andhra Pradesh - Mahabubabad"
"PONGULETI  SRINIVASA REDDY","Yuvajana Sramika Rythu Congress Party",268,"Andhra Pradesh","Andhra Pradesh - Khammam"
"NAMA NAGESWARA RAO","Telugu Desam",266,"Andhra Pradesh","Andhra Pradesh - Khammam"
"KANKANALA NARAYANA","Communist Party of India",265,"Andhra Pradesh","Andhra Pradesh - Khammam"
"BUDAN BAIG SHAIK","Telangana Rashtra Samithi",278,"Andhra Pradesh","Andhra Pradesh - Khammam"
"LINGALA RAVI KUMAR","Independent",280,"Andhra Pradesh","Andhra Pradesh - Khammam"
"GOKINEPALLI VENKATESWARA RAO","Independent",276,"Andhra Pradesh","Andhra Pradesh - Khammam"
"BACHALA LAXMAIAH","Independent",275,"Andhra Pradesh","Andhra Pradesh - Khammam"
"MOKALLA RAMESH","Independent",274,"Andhra Pradesh","Andhra Pradesh - Khammam"
"KAKI BHASKAR","Independent",273,"Andhra Pradesh","Andhra Pradesh - Khammam"
"NAGARJUNA CHERUKURU","Jai Samaikyandhra Party",272,"Andhra Pradesh","Andhra Pradesh - Khammam"
"DODDA RAM BABU","Bahujan Samaj Party",270,"Andhra Pradesh","Andhra Pradesh - Khammam"
"NAGIREDDY RAJI REDDY","Independent",269,"Andhra Pradesh","Andhra Pradesh - Khammam"
"MEDARAMETLA  RAMA RAO","Pyramid Party of India",267,"Andhra Pradesh","Andhra Pradesh - Khammam"
"BANOTH KISHAN NAYAK","Independent",264,"Andhra Pradesh","Andhra Pradesh - Khammam"
"GUGULOTHU SARVAN","Independent",263,"Andhra Pradesh","Andhra Pradesh - Khammam"
"GUGULOTHU RANJITH KUMAR","Independent",262,"Andhra Pradesh","Andhra Pradesh - Khammam"
"BANOTH LAXMA NAIK","Independent",261,"Andhra Pradesh","Andhra Pradesh - Khammam"
"RAMESH KOMMU","Independent",260,"Andhra Pradesh","Andhra Pradesh - Khammam"
"MUDIGE NAGESWARA RAO","Independent",259,"Andhra Pradesh","Andhra Pradesh - Khammam"
"JERRIPOTHULA SRINIVAS","Independent",258,"Andhra Pradesh","Andhra Pradesh - Khammam"
"KALTHI VENKATESWARLU","Independent",257,"Andhra Pradesh","Andhra Pradesh - Khammam"
"RAMU KANDULA","Independent",256,"Andhra Pradesh","Andhra Pradesh - Khammam"
"KALTHI RAMULAMMA","Independent",282,"Andhra Pradesh","Andhra Pradesh - Khammam"
"BUSIREDDY SHANKAR REDDY","Independent",281,"Andhra Pradesh","Andhra Pradesh - Khammam"
"KANAKAM TIRUMALA RAO","Independent",279,"Andhra Pradesh","Andhra Pradesh - Khammam"
"SANAPA POMMAIAH","Independent",149,"Andhra Pradesh","Andhra Pradesh - Khammam"
"MARIKANTI VASUDASU","Independent",277,"Andhra Pradesh","Andhra Pradesh - Khammam"
"None of the Above","None of the Above",271,"Andhra Pradesh","Andhra Pradesh - Khammam"
"KOTHAPALLI GEETHA","Yuvajana Sramika Rythu Congress Party",287,"Andhra Pradesh","Andhra Pradesh - Aruku"
"GUMMIDI SANDHYARANI","Telugu Desam",285,"Andhra Pradesh","Andhra Pradesh - Aruku"
"KISHORE CHANDRA DEO","Indian National Congress",289,"Andhra Pradesh","Andhra Pradesh - Aruku"
"MIDIYAM BABURAO","Communist Party of India  (Marxist)",286,"Andhra Pradesh","Andhra Pradesh - Aruku"
"KANGALA BALUDORA","Independent",284,"Andhra Pradesh","Andhra Pradesh - Aruku"
"CHETTI SANKARARAO","Independent",294,"Andhra Pradesh","Andhra Pradesh - Aruku"
"BURJABARIKI DHANARAJU","Aam Aadmi Party",293,"Andhra Pradesh","Andhra Pradesh - Aruku"
"SALLANGI RATNAM","Independent",292,"Andhra Pradesh","Andhra Pradesh - Aruku"
"BIDDIKA RAMAIAH","Independent",291,"Andhra Pradesh","Andhra Pradesh - Aruku"
"IILLA RAMI REDDY","Independent",290,"Andhra Pradesh","Andhra Pradesh - Aruku"
"VANUGU SANKARARAO","Independent",288,"Andhra Pradesh","Andhra Pradesh - Aruku"
"None of the Above","None of the Above",283,"Andhra Pradesh","Andhra Pradesh - Aruku"
"RAMMOHAN NAIDU KINJARAPU","Telugu Desam",303,"Andhra Pradesh","Andhra Pradesh - Srikakulam"
"REDDY SHANTHI","Yuvajana Sramika Rythu Congress Party",300,"Andhra Pradesh","Andhra Pradesh - Srikakulam"
"KILLI KRUPARANI","Indian National Congress",298,"Andhra Pradesh","Andhra Pradesh - Srikakulam"
"PAIDI RAJA RAO","Jai Samaikyandhra Party",295,"Andhra Pradesh","Andhra Pradesh - Srikakulam"
"BODDEPALLI RAJARAO","Bahujan Samaj Party",304,"Andhra Pradesh","Andhra Pradesh - Srikakulam"
"VASUDEVA RAO BODDU","Communist Party of India  (Marxist-Leninist)  (Liberation)",302,"Andhra Pradesh","Andhra Pradesh - Srikakulam"
"KADIYAM JAYALAKSHMI","Pyramid Party of India",301,"Andhra Pradesh","Andhra Pradesh - Srikakulam"
"JAIDEV INJARAPU","Aam Aadmi Party",299,"Andhra Pradesh","Andhra Pradesh - Srikakulam"
"TOTA TEJESWARA RAO","Independent",297,"Andhra Pradesh","Andhra Pradesh - Srikakulam"
"KINJARAPU TEJESWARA RAO","Independent",296,"Andhra Pradesh","Andhra Pradesh - Srikakulam"
"None of the Above","None of the Above",114,"Andhra Pradesh","Andhra Pradesh - Srikakulam"
"ASHOK GAJAPATHI RAJU PUSAPATI","Telugu Desam",312,"Andhra Pradesh","Andhra Pradesh - Vizianagaram"
"VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU","Yuvajana Sramika Rythu Congress Party",310,"Andhra Pradesh","Andhra Pradesh - Vizianagaram"
"JHANSI LAKSHMI BOTCHA","Indian National Congress",305,"Andhra Pradesh","Andhra Pradesh - Vizianagaram"
"PRASADA RAO NANDA","Pyramid Party of India",313,"Andhra Pradesh","Andhra Pradesh - Vizianagaram"
"YELLA RAO SIYYADULA","Independent",311,"Andhra Pradesh","Andhra Pradesh - Vizianagaram"
"BONU KRISHNA","Bahujan Samaj Party",309,"Andhra Pradesh","Andhra Pradesh - Vizianagaram"
"HARIKISHAN KUPPILI","Independent",308,"Andhra Pradesh","Andhra Pradesh - Vizianagaram"
"TADIVAKA RAMESH NAIDU","Jai Samaikyandhra Party",307,"Andhra Pradesh","Andhra Pradesh - Vizianagaram"
"NARU SIMHADRI NAIDU","Aam Aadmi Party",306,"Andhra Pradesh","Andhra Pradesh - Vizianagaram"
"None of the Above","None of the Above",314,"Andhra Pradesh","Andhra Pradesh - Vizianagaram"
"KAMBHAMPATI HARI BABU","Bharatiya Janata Party",332,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"Y.S VIJAYAMMA","Yuvajana Sramika Rythu Congress Party",329,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"BOLISETTI SATYANARAYANA (SATYA)","Indian National Congress",330,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"IMANDI VENKATA KURMARAO","Bahujan Samaj Party",318,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"SABBAM HARI","Jai Samaikyandhra Party",334,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"KUNA RAMAM","Aam Aadmi Party",333,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"TANUKU DIVAKAR","Independent",331,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"JT RAMARAO","Samaikyandhra Parirakshana Samithi",328,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"DADI JYOTHI BHAVANI","Pyramid Party of India",327,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"DURGAPRASAD GUNTU","Independent",326,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"NAGENDRA SAIRAM","Independent",325,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"KURADA SATYANARAYANA PATNAIK","Independent",324,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"KUTIKUPPALA SURYA RAO","Independent",323,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"SEEMAKURTHI SRINUVASU (BHAGHAVAN SRINU)","Independent",322,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"UMAMAHESWARARAO ARETI","Independent",321,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"CHALAPATHIRAO RONANKI","Independent",320,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"J. PADMAJA","Independent",319,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"SREENADH REDDY","Independent",317,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"CHANDRASEKHAR BUDDA","Independent",316,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"GEDELA KRISHNARAO","Independent",315,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"BRAHMA SWAROOP KASIBHATTA","Independent",336,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"None of the Above","None of the Above",335,"Andhra Pradesh","Andhra Pradesh - Visakhapatnam"
"MUTTAMSETTI SRINIVASA RAO (AVANTHI)","Telugu Desam",344,"Andhra Pradesh","Andhra Pradesh - Anakapalli"
"GUDIVADA AMARNADH","Yuvajana Sramika Rythu Congress Party",342,"Andhra Pradesh","Andhra Pradesh - Anakapalli"
"VIJAYA LAKSHMI THOTA","Indian National Congress",339,"Andhra Pradesh","Andhra Pradesh - Anakapalli"
"KARANAM TIRUPATHI RAO","Bahujan Samaj Party",338,"Andhra Pradesh","Andhra Pradesh - Anakapalli"
"KONDARAJU JAMPANA","Jai Samaikyandhra Party",345,"Andhra Pradesh","Andhra Pradesh - Anakapalli"
"VADLAMURI KRISHNA SWAROOP","Dalita Bahujana Party",343,"Andhra Pradesh","Andhra Pradesh - Anakapalli"
"APPALARAJU SADARAM","Independent",341,"Andhra Pradesh","Andhra Pradesh - Anakapalli"
"SARISA LEELA PRASANNA KUMARI","Pyramid Party of India",340,"Andhra Pradesh","Andhra Pradesh - Anakapalli"
"None of the Above","None of the Above",346,"Andhra Pradesh","Andhra Pradesh - Anakapalli"
"THOTA NARASIMHAM","Telugu Desam",364,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"CHALAMALASETTY SUNIL","Yuvajana Sramika Rythu Congress Party",363,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"MALLIPUDI MANGAPATI PALLAM RAJU","Indian National Congress",356,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"MOTHA SARADA","Republican Party of India (Khobragade)",367,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"JALLURI VENKATESWARLU (J.V)","Independent",366,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"TUMMALAPALLI SATYA RAMAKRISHNA","Jai Samaikyandhra Party",365,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"TEKUMUDI VENKATA RAO","Pyramid Party of India",361,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"DONKA LEELAVATHI","Independent",360,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"KOLA VENKATA PRASAD VARMA","Rashtriya Janata Dal",359,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"MUTHABATHULA RATNA KUMAR","Bahujan Samaj Party",358,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"SRINIVAS DANGETI","Aam Aadmi Party",357,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"KARRA VENKATA APPALA NARASIMHA RAO","Independent",355,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"ROKKAM DAYAKAR","Republican Paksha (Khoripa)",354,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"DONAM NEELAKANTAM","Independent",353,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"ARJUNARAO YEGUPATI","Communist Party of India  (Marxist-Leninist)  (Liberation)",352,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"GUTTULA ANNAPURNA SESHAGIRI RAO (BATHPARTY-SESHU)","Independent",351,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"VINJAMALLA CHITTI BABU","Independent",350,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"CHAGANTI SURYANARAYANA MURTY","Independent",349,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"PEPAKAYALA SUBHA RAJENDRA","Independent",348,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"KUNCHE RAMADAS","Independent",347,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"MERLA BHAVANI SANKARA PRASAD","Independent",368,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"PRABHAKARA RAO MADIKI","Independent",109,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"None of the Above","None of the Above",362,"Andhra Pradesh","Andhra Pradesh - Kakinada"
"DR PANDULA RAVINDRA BABU","Telugu Desam",377,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"PINIPE VISWARUPU","Yuvajana Sramika Rythu Congress Party",376,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"AITHABATHULA JOGESWARA VENKATA BUTCHI MAHESWARA RAO","Indian National Congress",371,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"G.V.HARSHA KUMAR","Jai Samaikyandhra Party",383,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"GEDDAM SAMPADA RAO","Bahujan Samaj Party",380,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"KUNCHE PEDASATYANARAYANA","Pyramid Party of India",375,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"KONKI VENKATA RAO","Republican Paksha (Khoripa)",374,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"VIJAYA CHAKRAVARTHY PANTHAGADA","Republican Party of India (Khobragade)",373,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"VADDI WINSTON CHURCHILL","Independent",372,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"YALANGI RAMESH","Independent",370,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"KASI CHANDRAMOULI","Independent",369,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"UNDRU GANI RAJU","Independent",382,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"BHASKARA RAO BUNGA","Independent",381,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"KOMMU SATYAVATHI","Independent",379,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"None of the Above","None of the Above",378,"Andhra Pradesh","Andhra Pradesh - Amalapuram"
"MURALI MOHAN MAGANTI","Telugu Desam",393,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"BODDU VENKATARAMANA CHOWDARY","Yuvajana Sramika Rythu Congress Party",389,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"DURGESH KANDULA","Indian National Congress",388,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"MULLAPUDI SATYANARAYANA","Jai Samaikyandhra Party",384,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"MARRE BABJI","Bahujan Samaj Party",392,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"KOLLABATHULA RICHMOND CAREY","Gareeb Aadmi Party",390,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"ILLA GOVINDA RAJAN","Independent",96,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"CHEEKATLA VENKATESWARA RAO","Independent",387,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"SANGISETTI SRINIVASA RAO","Pyramid Party of India",386,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"MUTYALA RAMBABU","Independent",385,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"MEDA SRINIVAS","Rashtriya Praja Congress  (Secular)",397,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"PALLA VENKATA NAIDU(PRADEEP)","Independent",396,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"POLU PEDA VENGALA REDDY","Independent",395,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"ANNAMDEVULA DHARMA RAO","Independent",391,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"None of the Above","None of the Above",394,"Andhra Pradesh","Andhra Pradesh - Rajahmundry"
"GOKARAJU GANGA RAJU","Bharatiya Janata Party",408,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"VANKA RAVINDRANATH","Yuvajana Sramika Rythu Congress Party",407,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"KANUMURU BAPI RAJU","Indian National Congress",405,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"GITADAS DAS","Prem Janata Dal",404,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"CHINTAPALLI KANAKA RAO","Bahujan Samaj Party",412,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"SAROJA  POLASAPALLI","Jai Samaikyandhra Party",410,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"NALLI RAJESH","Republican Paksha (Khoripa)",409,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"S.V.P.K.H.G.KRISHNAM RAJU","Pyramid Party of India",406,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"SHIVAJI GOTTUMUKKALA","Independent",403,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"BADAMPUDI SIVA","Independent",402,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"ADDANKI (SEKHAR BABU) DORABABU","Independent",401,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"VOLETI VENKATA LAKSHMANA RAO","Independent",400,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"VANGALAPUDI YASHYAA","Independent",399,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"MEDAPATI  VARAHALA REDDY","Independent",398,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"None of the Above","None of the Above",411,"Andhra Pradesh","Andhra Pradesh - Narsapuram"
"MAGANTI VENKATESWARA RAO (BABU)","Telugu Desam",426,"Andhra Pradesh","Andhra Pradesh - Eluru"
"THOTA CHANDRA SEKHAR","Yuvajana Sramika Rythu Congress Party",425,"Andhra Pradesh","Andhra Pradesh - Eluru"
"MUSUNURI NAGESWARA RAO","Indian National Congress",414,"Andhra Pradesh","Andhra Pradesh - Eluru"
"NETALA RAMESH BABU","Bahujan Samaj Party",413,"Andhra Pradesh","Andhra Pradesh - Eluru"
"GOVADA VIJAYA KUMARI","Prem Janata Dal",424,"Andhra Pradesh","Andhra Pradesh - Eluru"
"U VENKATESWARARAO (U.V)","Independent",423,"Andhra Pradesh","Andhra Pradesh - Eluru"
"MENDEM SANTOSH KUMAR ( PEDABABULU)","Indian Labour Party (Ambedkar Phule)",422,"Andhra Pradesh","Andhra Pradesh - Eluru"
"K.V.V.SATYANARAYANA","Jai Samaikyandhra Party",421,"Andhra Pradesh","Andhra Pradesh - Eluru"
"C.V.SARADA DEVI","Independent",420,"Andhra Pradesh","Andhra Pradesh - Eluru"
"SAVANAPUDI NAGARAJU","Marxist Communist Party of India (United)",419,"Andhra Pradesh","Andhra Pradesh - Eluru"
"U .V. RAMA RAO","Pyramid Party of India",418,"Andhra Pradesh","Andhra Pradesh - Eluru"
"K.VIJAYA LAKSHMI PANDIT","Independent",417,"Andhra Pradesh","Andhra Pradesh - Eluru"
"GANGADHARA RAO NANNAPANENI","Independent",416,"Andhra Pradesh","Andhra Pradesh - Eluru"
"ASHOK YANTRAPATI","Mahajana Socialist Party",415,"Andhra Pradesh","Andhra Pradesh - Eluru"
"JULURI BHASKARA VEERA VENKATA ANIL KUMAR GUPTA","Independent",427,"Andhra Pradesh","Andhra Pradesh - Eluru"
"None of the Above","None of the Above",428,"Andhra Pradesh","Andhra Pradesh - Eluru"
"KONAKALLA NARAYANA RAO","Telugu Desam",437,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"KOLUSU PARTHA SARATHY","Yuvajana Sramika Rythu Congress Party",436,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"SISTLA RAMESH","Indian National Congress",430,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"KAMMILI SRINIVAS","Jai Samaikyandhra Party",438,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"VADAPALLI RAGHUNADH","Pyramid Party of India",435,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"PRASADA RAO PEGGEM","Bahujan Samaj Party",434,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"PARASA SRINIVASA RAO","Independent",433,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"MOHAMMAD ISHAQ","Independent",432,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"YUNDURI SUBRAMANYASWARA RAO (MANI)","Independent",431,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"YARLAGADDA RAMA MOHAN RAO","Independent",429,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"JAMPANA SRINIVASA GOUD","Independent",440,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"None of the Above","None of the Above",439,"Andhra Pradesh","Andhra Pradesh - Machilipatnam"
"KESINENI SRINIVAS","Telugu Desam",458,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"KONERU RAJENDRA PRASAD","Yuvajana Sramika Rythu Congress Party",455,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"AVINASH DEVINENI","Indian National Congress",452,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"KAMBALA. SUBRAHMANYAM (SASTRY)","Welfare Party Of India",461,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"ISHWARYA LAKSHMI CHINNAM","Jai Samaikyandhra Party",457,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"CHIGURUPATI RAMALINGESWARA RAO","Bahujan Samaj Party",451,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"HAR MOHINDER SINGH SAHANI","Aam Aadmi Party",450,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"M.PHANI PRAKASH","Independent",449,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"RAJA KUMARI GUNDAPANENI","Pyramid Party of India",448,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"TATINENI SRINIVASA RAO","Independent",447,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"DASARI VENKATA NAGESH","Independent",446,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"SURAPANENI SARATBABU","Independent",445,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"YARAM KATAM RAJU","Independent",444,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"ALTAF ALI MOHAMED","Independent",443,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"KONERU RAMACHANDRA PRASAD","Independent",442,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"KONERU RAJENDRA PRASAD","Independent",441,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"CHATRAGADDA PRATAP","Independent",462,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"SUNKARA KRISHNA MURTHY","Andhra Rastra Praja Samithi",117,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"V.R.K.MURTHY.","Independent",460,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"BOLISETTY HARIBABU","Independent",459,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"AHMED ANSARI SYED","Independent",454,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"P.V. KRISHNAIAH","Independent",453,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"None of the Above","None of the Above",456,"Andhra Pradesh","Andhra Pradesh - Vijayawada"
"JAYADEV GALLA","Telugu Desam",473,"Andhra Pradesh","Andhra Pradesh - Guntur"
"BALASHOWRY VALLABHANENI","Yuvajana Sramika Rythu Congress Party",471,"Andhra Pradesh","Andhra Pradesh - Guntur"
"ABDUL WAHEED SHAIK","Indian National Congress",470,"Andhra Pradesh","Andhra Pradesh - Guntur"
"MALLELA VENKATA RAO","Jai Samaikyandhra Party",472,"Andhra Pradesh","Andhra Pradesh - Guntur"
"MALLELA BABU RAO","Bahujan Samaj Party",469,"Andhra Pradesh","Andhra Pradesh - Guntur"
"UDAIA KUMAR MUSUKU","Indian Christian Secular Party",468,"Andhra Pradesh","Andhra Pradesh - Guntur"
"DR. KOUTHARAPU RAVINDRA","Great India Party",467,"Andhra Pradesh","Andhra Pradesh - Guntur"
"KATA VEERA VARA PRASAD","Aam Aadmi Party",466,"Andhra Pradesh","Andhra Pradesh - Guntur"
"ABBURI KOTESWARA RAO","Pyramid Party of India",465,"Andhra Pradesh","Andhra Pradesh - Guntur"
"EMANI CHANDRA SEKHAR RAO","Navodyam Party",464,"Andhra Pradesh","Andhra Pradesh - Guntur"
"BITRA VENKATA SIVANNARAYANA","Independent",463,"Andhra Pradesh","Andhra Pradesh - Guntur"
"ARUDALA VENKATESWARA RAO","Independent",475,"Andhra Pradesh","Andhra Pradesh - Guntur"
"None of the Above","None of the Above",474,"Andhra Pradesh","Andhra Pradesh - Guntur"
"SAMBASIVA RAO RAYAPATI","Telugu Desam",484,"Andhra Pradesh","Andhra Pradesh - Narasaraopet"
"AYODHYA RAMIREDDY ALLA","Yuvajana Sramika Rythu Congress Party",482,"Andhra Pradesh","Andhra Pradesh - Narasaraopet"
"KONDAPALLI VENKATESWARLU","Indian National Congress",479,"Andhra Pradesh","Andhra Pradesh - Narasaraopet"
